Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
299,Process,Flowchart Shapes/Containers,298,,,,,,,,,,
300,Process,Flowchart Shapes/Containers,298,,,,,,,,,,
301,User Image,User Images,298,,,,,,,,,,
302,MinimalTextBlock,Standard,298,,,,,,,,BTC Token,,
303,MinimalTextBlock,Standard,298,,,,,,,,$KOR UTXO,,
304,Process,Flowchart Shapes/Containers,298,,,,,,,,,,
305,MinimalTextBlock,Standard,298,,,,,,,,$KOR Balance,,
306,User Image,User Images,298,,,,,,,,,,
307,Process,Flowchart Shapes/Containers,298,,,,,,,,,,
308,User Image,User Images,298,,,,,,,,,,
309,User Image,User Images,298,,,,,,,,,,
310,User Image,User Images,298,,,,,,,,,,
311,User Image,User Images,298,,,,,,,,,,
312,User Image,User Images,298,,,,,,,,,,
313,MinimalTextBlock,Standard,298,,,,,,,,Kontor Contract,,
314,Line,,298,,,299,300,None,Arrow,,"PSBT
Atomic
Swap",,
315,Line,,298,,,300,304,None,Arrow,,Detach,,
316,Line,,298,,,304,307,None,Arrow,,"Kontor 
Contract Call",,
317,Line,,298,,,299,303,Arrow,None,,"PSBT
Atomic
Swap",,
318,Page,,,,,,,,,,Storage,,
319,Process,Flowchart Shapes/Containers,318,,,,,,,,,,
320,Process,Flowchart Shapes/Containers,318,,,,,,,,,,
321,User Image,User Images,318,,,,,,,,,,
322,MinimalTextBlock,Standard,318,,,,,,,,BTC Token,,
323,MinimalTextBlock,Standard,318,,,,,,,,$KOR UTXO,,
324,Process,Flowchart Shapes/Containers,318,,,,,,,,,,
325,MinimalTextBlock,Standard,318,,,,,,,,$KOR Balance,,
326,User Image,User Images,318,,,,,,,,,,
327,Process,Flowchart Shapes/Containers,318,,,,,,,,,,
328,MinimalTextBlock,Standard,318,,,,,,,,Storage Space,,
329,ImageSearchBlock2,Standard,318,,,,,,,,,,
330,User Image,User Images,318,,,,,,,,,,
331,User Image,User Images,318,,,,,,,,,,
332,User Image,User Images,318,,,,,,,,,,
333,User Image,User Images,318,,,,,,,,,,
334,MinimalTextBlock,Standard,318,,,,,,,,inscribing a sat/registering a counterparty asset and uploading the image data for the asset to Kontor,,
335,Line,,318,,,319,320,None,Arrow,,"PSBT
Atomic
Swap",,
336,Line,,318,,,320,324,None,Arrow,,Detach,,
337,Line,,318,,,324,327,None,Arrow,,"Kontor 
Contract Call",,
338,Line,,318,,,319,323,Arrow,None,,"PSBT
Atomic
Swap",,
339,Page,,,,,,,,,,L2 vs Metaprotocols,,
340,Process,Flowchart Shapes/Containers,339,,,,,,,,Bitcoin Layer-1,,
341,Cloud,Geometric Shapes,339,,,,,,,,Layer-2s,,
342,Process,Flowchart Shapes/Containers,339,,,,,,,,,,
343,User Image,User Images,339,,,,,,,,,,
344,User Image,User Images,339,,,,,,,,,,
345,Connector,Flowchart Shapes/Containers,339,,,,,,,,Ord,,
346,Line,,339,,,341,340,Equilateral Arrow,Equilateral Arrow,,"Two-Way
BTC Peg",,
347,Line,,339,,,340,342,Equilateral Arrow,Equilateral Arrow,,Embedded Consensus,,
348,Line,,339,,,340,342,Equilateral Arrow,Equilateral Arrow,,,,
349,Line,,339,,,340,342,Equilateral Arrow,Equilateral Arrow,,,,
350,Line,,339,,,344,345,Equilateral Arrow,Equilateral Arrow,,,,
351,Line,,339,,,343,344,Equilateral Arrow,Equilateral Arrow,,,,
352,Line,,339,,,345,343,Equilateral Arrow,Equilateral Arrow,,,,
353,Page,,,,,,,,,,L2 vs Metaprotocols v2,,
354,Block,Standard,353,,,,,,,,,,
355,MinimalTextBlock,Standard,353,,,,,,,,Bitcoin Blockchain,,
356,User Image,User Images,353,,,,,,,,,,
357,User Image,User Images,353,,,,,,,,,,
358,Process,Flowchart Shapes/Containers,353,,,,,,,,Ord,,
359,Block,Standard,353,,,,,,,,,,
360,User Image,User Images,353,,,,,,,,,,
361,User Image,User Images,353,,,,,,,,,,
362,Block,Standard,353,,,,,,,,,,
363,User Image,User Images,353,,,,,,,,,,
364,User Image,User Images,353,,,,,,,,,,
365,Process,Flowchart Shapes/Containers,353,,,,,,,,Ord,,
366,User Image,User Images,353,,,,,,,,,,
367,Cloud,Geometric Shapes,353,,,,,,,,L2,,
368,Line,,353,,,358,356,Equilateral Arrow,Equilateral Arrow,,,,
369,Line,,353,,,358,357,Equilateral Arrow,Arrow,,,,
370,Line,,353,,,357,356,Equilateral Arrow,Arrow,,,,
371,Line,,353,,,361,360,Equilateral Arrow,Equilateral Arrow,,,,
372,Line,,353,,,366,361,Equilateral Arrow,Arrow,,,,
373,Line,,353,,,366,360,Equilateral Arrow,Arrow,,,,
374,Line,,353,,,354,359,None,Arrow,,,,
375,Line,,353,,,365,363,Equilateral Arrow,Equilateral Arrow,,,,
376,Line,,353,,,365,364,Equilateral Arrow,Arrow,,,,
377,Line,,353,,,364,363,Equilateral Arrow,Arrow,,,,
378,Line,,353,,,359,362,None,Arrow,,,,
379,Line,,353,,,362,,None,Arrow,,,,
380,Line,,353,,,367,359,Arrow,Arrow,,"Two-Way
Peg",,
381,Page,,,,,,,,,,||||||||||||||||||||||||,,
382,Page,,,,,,,,,,Original,,
383,Connector,Flowchart Shapes/Containers,382,,,,,,,,,,
384,Process,Flowchart Shapes/Containers,382,,,,,,,,Counterparty Protocol,,
385,Process,Flowchart Shapes/Containers,382,,,,,,,,"Counterparty Assets (RARE PEPES, DARTT)",,
386,Process,Flowchart Shapes/Containers,382,,,,,,,,Infrastructure (Horizon),,
387,Process,Flowchart Shapes/Containers,382,,,,,,,,XCP,,
388,Process,Flowchart Shapes/Containers,382,,,,,,,,Kontor Protocol,,
389,Process,Flowchart Shapes/Containers,382,,,,,,,,KOR,,
390,Process,Flowchart Shapes/Containers,382,,,,,,,,BTC,,
391,Process,Flowchart Shapes/Containers,382,,,,,,,,Ordinals,,
392,Block,Standard,382,,,,,,,,Unspendable Labs,,
393,Process,Flowchart Shapes/Containers,382,,,,,,,,DARTT Token Standard,,
394,Process,Flowchart Shapes/Containers,382,,,,,,,,Glyphs,,
395,Block,Standard,382,,,,,,,,Airdrop,,
396,Block,Standard,382,,,,,,,,"Kontor Data Storage  distinguishing between protocols and their assets.  We want Kontor assets outside the circle, but we also want the Ordinals protocol inside the circle and pointing back at Horizon.  
Within the circle maybe segregate the stuff we develop from the stuff support (but both types of stuff should point back to ‘Infrastructure’), and there should be a box outside of all of it and “Unspendable Labs” and Unspendable Labs above it.  
Last thing, @Shiv Govindan maybe you can weigh in here: do we want to include our market making through Horizon as a connection point across the different L2 assets?",,
397,Line,,382,,,384,387,Arrow,Arrow,,,,
398,Line,,382,,,388,389,Arrow,Arrow,,,,
399,Line,,382,,,390,383,Arrow,Arrow,,,,
400,Line,,382,,,386,388,None,Arrow,,Users,,
401,Line,,382,,,384,388,None,Arrow,,,,
402,Line,,382,,,387,389,None,Arrow,,,,
403,Line,,382,,,384,386,None,Arrow,,Users,,
404,Line,,382,,,391,383,Arrow,Arrow,,,,
405,Line,,382,,,385,383,Arrow,Arrow,,,,
406,Page,,,,,,,,,,Synergy 0,,
407,Block,Standard,406,,,,,,,,Horizon Wallet,,
408,Process,Flowchart Shapes/Containers,406,,,,,,,,BTC,,
409,Block,Standard,406,,,,,,,,Horizon Wallet,,
410,Process,Flowchart Shapes/Containers,406,,,,,,,,XCP,,
411,Block,Standard,406,,,,,,,,Horizon Market,,
412,Connector,Flowchart Shapes/Containers,406,,,,,,,,Counterparty,,
413,Connector,Flowchart Shapes/Containers,406,,,,,,,,Kontor,,
414,Connector,Flowchart Shapes/Containers,406,,,,,,,,Unspendable Labs,,
415,Line,,406,,,408,413,Arrow,Arrow,,Swap,,
416,Line,,406,,,410,413,Arrow,Arrow,,Swap,,
417,Line,,406,,,407,411,None,Arrow,,Buy,,
418,Line,,406,,,409,411,None,Arrow,,Sell,,
419,Line,,406,,,411,414,None,Arrow,,​- Subscription Fees - Market Making,,
420,Line,,406,,,413,414,None,Arrow,,Token Appreciation,,
421,Page,,,,,,,,,,UTXO Atomic Swap,,
422,Block,Standard,421,,,,,,,,,,
423,Block,Standard,421,,,,,,,,,,
424,Process,Flowchart Shapes/Containers,421,,,,,,,,BTC,,
425,Process,Flowchart Shapes/Containers,421,,,,,,,,Counterparty Asset,,
426,Process,Flowchart Shapes/Containers,421,,,,,,,,Counterparty Asset,,
427,Block,Standard,421,,,,,,,,,,
428,Process,Flowchart Shapes/Containers,421,,,,,,,,Post Order,,
429,Block,Standard,421,,,,,,,,Counterparty,,
430,Block,Standard,421,,,,,,,,UTXO Land,,
431,Line,,421,,,425,426,None,Arrow,,Attach,,
432,Line,,421,,,426,428,None,Arrow,,,,
433,Line,,421,,,428,424,None,Arrow,,,,
434,Line,,421,,,424,426,None,Arrow,,4. Atomic Swap,,
435,Page,,,,,,,,,,Bitcoin L2,,
436,Block,Standard,435,,,,,,,,,,
437,Process,Flowchart Shapes/Containers,435,,,,,,,,Infrastructure (Horizon),,
438,Block,Standard,435,,,,,,,,,,
439,Block,Standard,435,,,,,,,,,,
440,Process,Flowchart Shapes/Containers,435,,,,,,,,Glyphs,,
441,Process,Flowchart Shapes/Containers,435,,,,,,,,Counterparty Protocol,,
442,Process,Flowchart Shapes/Containers,435,,,,,,,,XCP,,
443,Process,Flowchart Shapes/Containers,435,,,,,,,,Kontor Protocol,,
444,Process,Flowchart Shapes/Containers,435,,,,,,,,KOR,,
445,Process,Flowchart Shapes/Containers,435,,,,,,,,BTC,,
446,Process,Flowchart Shapes/Containers,435,,,,,,,,Ordinals,,
447,Block,Standard,435,,,,,,,,Unspendable Labs,,
448,Process,Flowchart Shapes/Containers,435,,,,,,,,DARTT Token Standard,,
449,Process,Flowchart Shapes/Containers,435,,,,,,,,Glyphs,,
450,Block,Standard,435,,,,,,,,Bitcoin UTXOs,,
451,Block,Standard,435,,,,,,,,Off-Chain,,
452,Block,Standard,435,,,,,,,,Bitcoin L2,,
453,Line,,435,,,441,442,Arrow,Arrow,,,,
454,Line,,435,,,443,444,Arrow,Arrow,,,,
455,Line,,435,,,445,,Arrow,Arrow,,,,
456,Line,,435,,,437,443,None,Arrow,,Users,,
457,Line,,435,,,441,443,None,Arrow,,,,
458,Line,,435,,,442,444,None,Arrow,,Air Drop,,
459,Line,,435,,,441,437,None,Arrow,,Users,,
